austinid,Longitude,Latitude,Date,mtemp
1,-97.8625,30.8722,1975-07,81.4
1,-97.8625,30.8722,1976-07,79.1
1,-97.8625,30.8722,1977-07,84.5
1,-97.8625,30.8722,1978-07,86.4
1,-97.8625,30.8722,1979-07,82.3
1,-97.8625,30.8722,1980-07,87.2
1,-97.8625,30.8722,1981-07,83
1,-97.8625,30.8722,1982-07,84.1
1,-97.8625,30.8722,1983-07,81.3
1,-97.8625,30.8722,1984-07,82.7
1,-97.8625,30.8722,1985-07,82.5
1,-97.8625,30.8722,1986-07,84.1
1,-97.8625,30.8722,1987-07,81.3
1,-97.8625,30.8722,1988-07,82.3
1,-97.8625,30.8722,1989-07,82.2
1,-97.8625,30.8722,1990-07,80.6
1,-97.8625,30.8722,1991-07,82.2
1,-97.8625,30.8722,1992-07,82.4
1,-97.8625,30.8722,1993-07,83.5
1,-97.8625,30.8722,1994-07,84.8
1,-97.8625,30.8722,1995-07,83.8
1,-97.8625,30.8722,1996-07,85.7
1,-97.8625,30.8722,1997-07,83.8
1,-97.8625,30.8722,1998-07,86.5
1,-97.8625,30.8722,1999-07,82
1,-97.8625,30.8722,2000-07,85.7
1,-97.8625,30.8722,2001-07,84.8
1,-97.8625,30.8722,2002-07,81
1,-97.8625,30.8722,2003-07,83.2
1,-97.8625,30.8722,2004-07,81.2
1,-97.8625,30.8722,2005-07,83.8
1,-97.8625,30.8722,2006-07,83.7
1,-97.8625,30.8722,2007-07,79.6
1,-97.8625,30.8722,2008-07,83.9
1,-97.8625,30.8722,2009-07,86.9
1,-97.8625,30.8722,2010-07,83.6
1,-97.8625,30.8722,2011-07,87.9
1,-97.8625,30.8722,2012-07,84.2
1,-97.8625,30.8722,2013-07,83
1,-97.8625,30.8722,2014-07,82.3
1,-97.8625,30.8722,2015-07,83.6
1,-97.8625,30.8722,2016-07,85
1,-97.8625,30.8722,2017-07,85.2
1,-97.8625,30.8722,2018-07,85.8
1,-97.8625,30.8722,2019-07,82.1
1,-97.8625,30.8722,2020-07,85.5
,,,,
2,-97.4283,30.5835,1975-07,81.2
2,-97.4283,30.5835,1976-07,79.5
2,-97.4283,30.5835,1977-07,84.3
2,-97.4283,30.5835,1978-07,85.8
2,-97.4283,30.5835,1979-07,82.6
2,-97.4283,30.5835,1980-07,85.5
2,-97.4283,30.5835,1981-07,82.7
2,-97.4283,30.5835,1982-07,84.8
2,-97.4283,30.5835,1983-07,81.2
2,-97.4283,30.5835,1984-07,83.6
2,-97.4283,30.5835,1985-07,82.6
2,-97.4283,30.5835,1986-07,84.7
2,-97.4283,30.5835,1987-07,81.8
2,-97.4283,30.5835,1988-07,83.1
2,-97.4283,30.5835,1989-07,82.7
2,-97.4283,30.5835,1990-07,81.6
2,-97.4283,30.5835,1991-07,83
2,-97.4283,30.5835,1992-07,82.6
2,-97.4283,30.5835,1993-07,83.8
2,-97.4283,30.5835,1994-07,85.5
2,-97.4283,30.5835,1995-07,84
2,-97.4283,30.5835,1996-07,86.3
2,-97.4283,30.5835,1997-07,84.2
2,-97.4283,30.5835,1998-07,87.3
2,-97.4283,30.5835,1999-07,82.4
2,-97.4283,30.5835,2000-07,85.8
2,-97.4283,30.5835,2001-07,84.7
2,-97.4283,30.5835,2002-07,81.8
2,-97.4283,30.5835,2003-07,83.2
2,-97.4283,30.5835,2004-07,81.8
2,-97.4283,30.5835,2005-07,84.2
2,-97.4283,30.5835,2006-07,83.8
2,-97.4283,30.5835,2007-07,79.8
2,-97.4283,30.5835,2008-07,83.8
2,-97.4283,30.5835,2009-07,87.3
2,-97.4283,30.5835,2010-07,83.4
2,-97.4283,30.5835,2011-07,87.9
2,-97.4283,30.5835,2012-07,83.6
2,-97.4283,30.5835,2013-07,83.4
2,-97.4283,30.5835,2014-07,82.6
2,-97.4283,30.5835,2015-07,84.2
2,-97.4283,30.5835,2016-07,86.4
2,-97.4283,30.5835,2017-07,85.9
2,-97.4283,30.5835,2018-07,85.8
2,-97.4283,30.5835,2019-07,83.3
2,-97.4283,30.5835,2020-07,86.1
,,,,
3,-97.087,30.079,1975-07,81.6
3,-97.087,30.079,1976-07,80.2
3,-97.087,30.079,1977-07,84.5
3,-97.087,30.079,1978-07,86
3,-97.087,30.079,1979-07,82.2
3,-97.087,30.079,1980-07,86.8
3,-97.087,30.079,1981-07,82.6
3,-97.087,30.079,1982-07,85.7
3,-97.087,30.079,1983-07,82.1
3,-97.087,30.079,1984-07,83.9
3,-97.087,30.079,1985-07,82
3,-97.087,30.079,1986-07,84.2
3,-97.087,30.079,1987-07,82.8
3,-97.087,30.079,1988-07,83.8
3,-97.087,30.079,1989-07,83.3
3,-97.087,30.079,1990-07,82.2
3,-97.087,30.079,1991-07,82.7
3,-97.087,30.079,1992-07,83.7
3,-97.087,30.079,1993-07,83.7
3,-97.087,30.079,1994-07,84.6
3,-97.087,30.079,1995-07,84.6
3,-97.087,30.079,1996-07,85.5
3,-97.087,30.079,1997-07,84.2
3,-97.087,30.079,1998-07,87.5
3,-97.087,30.079,1999-07,82.4
3,-97.087,30.079,2000-07,85.5
3,-97.087,30.079,2001-07,84.4
3,-97.087,30.079,2002-07,82
3,-97.087,30.079,2003-07,83
3,-97.087,30.079,2004-07,82.2
3,-97.087,30.079,2005-07,84.4
3,-97.087,30.079,2006-07,83.8
3,-97.087,30.079,2007-07,80
3,-97.087,30.079,2008-07,84.3
3,-97.087,30.079,2009-07,88.2
3,-97.087,30.079,2010-07,83.2
3,-97.087,30.079,2011-07,87
3,-97.087,30.079,2012-07,83.2
3,-97.087,30.079,2013-07,84
3,-97.087,30.079,2014-07,82.7
3,-97.087,30.079,2015-07,84.1
3,-97.087,30.079,2016-07,86.1
3,-97.087,30.079,2017-07,86.1
3,-97.087,30.079,2018-07,85.7
3,-97.087,30.079,2019-07,84.2
3,-97.087,30.079,2020-07,87
,,,,
4,-97.4692,30.2653,1975-07,81.7
4,-97.4692,30.2653,1976-07,80.1
4,-97.4692,30.2653,1977-07,84.6
4,-97.4692,30.2653,1978-07,86.1
4,-97.4692,30.2653,1979-07,82.4
4,-97.4692,30.2653,1980-07,87
4,-97.4692,30.2653,1981-07,82.9
4,-97.4692,30.2653,1982-07,85.8
4,-97.4692,30.2653,1983-07,82
4,-97.4692,30.2653,1984-07,84.2
4,-97.4692,30.2653,1985-07,82.8
4,-97.4692,30.2653,1986-07,84.9
4,-97.4692,30.2653,1987-07,82.4
4,-97.4692,30.2653,1988-07,84.1
4,-97.4692,30.2653,1989-07,83.7
4,-97.4692,30.2653,1990-07,82.5
4,-97.4692,30.2653,1991-07,82.9
4,-97.4692,30.2653,1992-07,83.4
4,-97.4692,30.2653,1993-07,84.1
4,-97.4692,30.2653,1994-07,85.7
4,-97.4692,30.2653,1995-07,84.6
4,-97.4692,30.2653,1996-07,86.5
4,-97.4692,30.2653,1997-07,84.3
4,-97.4692,30.2653,1998-07,87.3
4,-97.4692,30.2653,1999-07,82.5
4,-97.4692,30.2653,2000-07,85.8
4,-97.4692,30.2653,2001-07,85.1
4,-97.4692,30.2653,2002-07,81.8
4,-97.4692,30.2653,2003-07,82.8
4,-97.4692,30.2653,2004-07,82.1
4,-97.4692,30.2653,2005-07,84.3
4,-97.4692,30.2653,2006-07,84.1
4,-97.4692,30.2653,2007-07,80.1
4,-97.4692,30.2653,2008-07,84.2
4,-97.4692,30.2653,2009-07,88
4,-97.4692,30.2653,2010-07,83.2
4,-97.4692,30.2653,2011-07,87.5
4,-97.4692,30.2653,2012-07,83.6
4,-97.4692,30.2653,2013-07,83.7
4,-97.4692,30.2653,2014-07,83.1
4,-97.4692,30.2653,2015-07,84
4,-97.4692,30.2653,2016-07,86.7
4,-97.4692,30.2653,2017-07,86.4
4,-97.4692,30.2653,2018-07,86
4,-97.4692,30.2653,2019-07,83.7
4,-97.4692,30.2653,2020-07,86.2
,,,,
5,-97.4462,30.2908,1975-07,81.8
5,-97.4462,30.2908,1976-07,79.9
5,-97.4462,30.2908,1977-07,84.7
5,-97.4462,30.2908,1978-07,86.3
5,-97.4462,30.2908,1979-07,82.3
5,-97.4462,30.2908,1980-07,87
5,-97.4462,30.2908,1981-07,83
5,-97.4462,30.2908,1982-07,86
5,-97.4462,30.2908,1983-07,81.9
5,-97.4462,30.2908,1984-07,84.2
5,-97.4462,30.2908,1985-07,82.8
5,-97.4462,30.2908,1986-07,84.8
5,-97.4462,30.2908,1987-07,82.3
5,-97.4462,30.2908,1988-07,84.2
5,-97.4462,30.2908,1989-07,83.7
5,-97.4462,30.2908,1990-07,82.5
5,-97.4462,30.2908,1991-07,82.8
5,-97.4462,30.2908,1992-07,83.4
5,-97.4462,30.2908,1993-07,84
5,-97.4462,30.2908,1994-07,85.8
5,-97.4462,30.2908,1995-07,84.7
5,-97.4462,30.2908,1996-07,86.7
5,-97.4462,30.2908,1997-07,84.3
5,-97.4462,30.2908,1998-07,87.3
5,-97.4462,30.2908,1999-07,82.6
5,-97.4462,30.2908,2000-07,85.9
5,-97.4462,30.2908,2001-07,85
5,-97.4462,30.2908,2002-07,81.9
5,-97.4462,30.2908,2003-07,82.7
5,-97.4462,30.2908,2004-07,82.2
5,-97.4462,30.2908,2005-07,84.3
5,-97.4462,30.2908,2006-07,84.1
5,-97.4462,30.2908,2007-07,80.1
5,-97.4462,30.2908,2008-07,84
5,-97.4462,30.2908,2009-07,88
5,-97.4462,30.2908,2010-07,83.3
5,-97.4462,30.2908,2011-07,87.5
5,-97.4462,30.2908,2012-07,83.6
5,-97.4462,30.2908,2013-07,83.6
5,-97.4462,30.2908,2014-07,82.7
5,-97.4462,30.2908,2015-07,83.8
5,-97.4462,30.2908,2016-07,86.1
5,-97.4462,30.2908,2017-07,86.2
5,-97.4462,30.2908,2018-07,86
5,-97.4462,30.2908,2019-07,83.5
5,-97.4462,30.2908,2020-07,86.1
,,,,
6,-97.9841,30.5902,1975-07,80.8
6,-97.9841,30.5902,1976-07,78.8
6,-97.9841,30.5902,1977-07,83.9
6,-97.9841,30.5902,1978-07,85.8
6,-97.9841,30.5902,1979-07,82
6,-97.9841,30.5902,1980-07,86.1
6,-97.9841,30.5902,1981-07,82.4
6,-97.9841,30.5902,1982-07,84.1
6,-97.9841,30.5902,1983-07,80.8
6,-97.9841,30.5902,1984-07,82.6
6,-97.9841,30.5902,1985-07,82.1
6,-97.9841,30.5902,1986-07,83.8
6,-97.9841,30.5902,1987-07,80.9
6,-97.9841,30.5902,1988-07,82.2
6,-97.9841,30.5902,1989-07,82.2
6,-97.9841,30.5902,1990-07,80.5
6,-97.9841,30.5902,1991-07,82
6,-97.9841,30.5902,1992-07,82
6,-97.9841,30.5902,1993-07,83.4
6,-97.9841,30.5902,1994-07,84.7
6,-97.9841,30.5902,1995-07,83.1
6,-97.9841,30.5902,1996-07,85.6
6,-97.9841,30.5902,1997-07,83.4
6,-97.9841,30.5902,1998-07,86
6,-97.9841,30.5902,1999-07,81.7
6,-97.9841,30.5902,2000-07,85
6,-97.9841,30.5902,2001-07,84.4
6,-97.9841,30.5902,2002-07,80.2
6,-97.9841,30.5902,2003-07,82.4
6,-97.9841,30.5902,2004-07,80.6
6,-97.9841,30.5902,2005-07,83.2
6,-97.9841,30.5902,2006-07,83.9
6,-97.9841,30.5902,2007-07,79
6,-97.9841,30.5902,2008-07,83.6
6,-97.9841,30.5902,2009-07,86.5
6,-97.9841,30.5902,2010-07,82.8
6,-97.9841,30.5902,2011-07,87.5
6,-97.9841,30.5902,2012-07,83.9
6,-97.9841,30.5902,2013-07,82.6
6,-97.9841,30.5902,2014-07,82.6
6,-97.9841,30.5902,2015-07,83.3
6,-97.9841,30.5902,2016-07,85.5
6,-97.9841,30.5902,2017-07,85.5
6,-97.9841,30.5902,2018-07,85.6
6,-97.9841,30.5902,2019-07,82.2
6,-97.9841,30.5902,2020-07,85.9
,,,,
7,-97.8531,29.9506,1975-07,81.2
7,-97.8531,29.9506,1976-07,79.7
7,-97.8531,29.9506,1977-07,84
7,-97.8531,29.9506,1978-07,85.8
7,-97.8531,29.9506,1979-07,82.3
7,-97.8531,29.9506,1980-07,86.5
7,-97.8531,29.9506,1981-07,82.5
7,-97.8531,29.9506,1982-07,85.9
7,-97.8531,29.9506,1983-07,81.9
7,-97.8531,29.9506,1984-07,84
7,-97.8531,29.9506,1985-07,82.3
7,-97.8531,29.9506,1986-07,84.7
7,-97.8531,29.9506,1987-07,82.6
7,-97.8531,29.9506,1988-07,83.8
7,-97.8531,29.9506,1989-07,84.1
7,-97.8531,29.9506,1990-07,82.2
7,-97.8531,29.9506,1991-07,82.4
7,-97.8531,29.9506,1992-07,83
7,-97.8531,29.9506,1993-07,83.8
7,-97.8531,29.9506,1994-07,85.2
7,-97.8531,29.9506,1995-07,84.3
7,-97.8531,29.9506,1996-07,86.4
7,-97.8531,29.9506,1997-07,84.2
7,-97.8531,29.9506,1998-07,86.7
7,-97.8531,29.9506,1999-07,82.2
7,-97.8531,29.9506,2000-07,84.9
7,-97.8531,29.9506,2001-07,84.8
7,-97.8531,29.9506,2002-07,81.1
7,-97.8531,29.9506,2003-07,82
7,-97.8531,29.9506,2004-07,81.6
7,-97.8531,29.9506,2005-07,83.9
7,-97.8531,29.9506,2006-07,84
7,-97.8531,29.9506,2007-07,79.8
7,-97.8531,29.9506,2008-07,84.2
7,-97.8531,29.9506,2009-07,88
7,-97.8531,29.9506,2010-07,83.1
7,-97.8531,29.9506,2011-07,86.8
7,-97.8531,29.9506,2012-07,83.4
7,-97.8531,29.9506,2013-07,83.3
7,-97.8531,29.9506,2014-07,82.7
7,-97.8531,29.9506,2015-07,83.4
7,-97.8531,29.9506,2016-07,85.6
7,-97.8531,29.9506,2017-07,85.5
7,-97.8531,29.9506,2018-07,85.5
7,-97.8531,29.9506,2019-07,83.6
7,-97.8531,29.9506,2020-07,85.7
,,,,
8,-97.8752,30.9035,1975-07,81.6
8,-97.8752,30.9035,1976-07,79.3
8,-97.8752,30.9035,1977-07,84.6
8,-97.8752,30.9035,1978-07,86.5
8,-97.8752,30.9035,1979-07,82.3
8,-97.8752,30.9035,1980-07,87
8,-97.8752,30.9035,1981-07,83.3
8,-97.8752,30.9035,1982-07,84.4
8,-97.8752,30.9035,1983-07,81.5
8,-97.8752,30.9035,1984-07,82.9
8,-97.8752,30.9035,1985-07,82.5
8,-97.8752,30.9035,1986-07,84.3
8,-97.8752,30.9035,1987-07,81.5
8,-97.8752,30.9035,1988-07,82.6
8,-97.8752,30.9035,1989-07,82.3
8,-97.8752,30.9035,1990-07,81
8,-97.8752,30.9035,1991-07,82.5
8,-97.8752,30.9035,1992-07,82.6
8,-97.8752,30.9035,1993-07,83.6
8,-97.8752,30.9035,1994-07,84.9
8,-97.8752,30.9035,1995-07,84.1
8,-97.8752,30.9035,1996-07,85.8
8,-97.8752,30.9035,1997-07,84.1
8,-97.8752,30.9035,1998-07,86.9
8,-97.8752,30.9035,1999-07,82.1
8,-97.8752,30.9035,2000-07,85.8
8,-97.8752,30.9035,2001-07,85
8,-97.8752,30.9035,2002-07,81.2
8,-97.8752,30.9035,2003-07,83.4
8,-97.8752,30.9035,2004-07,81.3
8,-97.8752,30.9035,2005-07,84
8,-97.8752,30.9035,2006-07,83.8
8,-97.8752,30.9035,2007-07,79.7
8,-97.8752,30.9035,2008-07,84.2
8,-97.8752,30.9035,2009-07,87.2
8,-97.8752,30.9035,2010-07,84.2
8,-97.8752,30.9035,2011-07,88.4
8,-97.8752,30.9035,2012-07,84.6
8,-97.8752,30.9035,2013-07,83.2
8,-97.8752,30.9035,2014-07,82.5
8,-97.8752,30.9035,2015-07,83.5
8,-97.8752,30.9035,2016-07,85.2
8,-97.8752,30.9035,2017-07,85.4
8,-97.8752,30.9035,2018-07,86
8,-97.8752,30.9035,2019-07,82.2
8,-97.8752,30.9035,2020-07,85.6
,,,,
9,-97.5115,30.1745,1975-07,81.5
9,-97.5115,30.1745,1976-07,80
9,-97.5115,30.1745,1977-07,84.4
9,-97.5115,30.1745,1978-07,86.1
9,-97.5115,30.1745,1979-07,82.4
9,-97.5115,30.1745,1980-07,86.7
9,-97.5115,30.1745,1981-07,82.3
9,-97.5115,30.1745,1982-07,85.6
9,-97.5115,30.1745,1983-07,82
9,-97.5115,30.1745,1984-07,84.1
9,-97.5115,30.1745,1985-07,82.6
9,-97.5115,30.1745,1986-07,84.9
9,-97.5115,30.1745,1987-07,82.5
9,-97.5115,30.1745,1988-07,84
9,-97.5115,30.1745,1989-07,83.9
9,-97.5115,30.1745,1990-07,82.3
9,-97.5115,30.1745,1991-07,82.8
9,-97.5115,30.1745,1992-07,83.4
9,-97.5115,30.1745,1993-07,84
9,-97.5115,30.1745,1994-07,85.6
9,-97.5115,30.1745,1995-07,84.4
9,-97.5115,30.1745,1996-07,86.3
9,-97.5115,30.1745,1997-07,84.1
9,-97.5115,30.1745,1998-07,87.2
9,-97.5115,30.1745,1999-07,82.3
9,-97.5115,30.1745,2000-07,85.5
9,-97.5115,30.1745,2001-07,84.9
9,-97.5115,30.1745,2002-07,81.5
9,-97.5115,30.1745,2003-07,82.4
9,-97.5115,30.1745,2004-07,81.8
9,-97.5115,30.1745,2005-07,84.2
9,-97.5115,30.1745,2006-07,84.1
9,-97.5115,30.1745,2007-07,80
9,-97.5115,30.1745,2008-07,84.2
9,-97.5115,30.1745,2009-07,88.2
9,-97.5115,30.1745,2010-07,83.1
9,-97.5115,30.1745,2011-07,87.2
9,-97.5115,30.1745,2012-07,83.6
9,-97.5115,30.1745,2013-07,83.8
9,-97.5115,30.1745,2014-07,82.7
9,-97.5115,30.1745,2015-07,83.7
9,-97.5115,30.1745,2016-07,86.5
9,-97.5115,30.1745,2017-07,86.1
9,-97.5115,30.1745,2018-07,86
9,-97.5115,30.1745,2019-07,83.4
9,-97.5115,30.1745,2020-07,86.3
,,,,
10,-97.9622,30.6785,1975-07,81.4
10,-97.9622,30.6785,1976-07,79.3
10,-97.9622,30.6785,1977-07,84.5
10,-97.9622,30.6785,1978-07,86.1
10,-97.9622,30.6785,1979-07,82.3
10,-97.9622,30.6785,1980-07,86.8
10,-97.9622,30.6785,1981-07,82.8
10,-97.9622,30.6785,1982-07,84.4
10,-97.9622,30.6785,1983-07,81.2
10,-97.9622,30.6785,1984-07,82.8
10,-97.9622,30.6785,1985-07,82.5
10,-97.9622,30.6785,1986-07,84.3
10,-97.9622,30.6785,1987-07,81.4
10,-97.9622,30.6785,1988-07,82.7
10,-97.9622,30.6785,1989-07,82.6
10,-97.9622,30.6785,1990-07,81.1
10,-97.9622,30.6785,1991-07,82.5
10,-97.9622,30.6785,1992-07,82.6
10,-97.9622,30.6785,1993-07,83.6
10,-97.9622,30.6785,1994-07,85.1
10,-97.9622,30.6785,1995-07,83.9
10,-97.9622,30.6785,1996-07,86
10,-97.9622,30.6785,1997-07,83.9
10,-97.9622,30.6785,1998-07,86.7
10,-97.9622,30.6785,1999-07,82.1
10,-97.9622,30.6785,2000-07,85.7
10,-97.9622,30.6785,2001-07,85.1
10,-97.9622,30.6785,2002-07,81
10,-97.9622,30.6785,2003-07,83
10,-97.9622,30.6785,2004-07,81.2
10,-97.9622,30.6785,2005-07,83.8
10,-97.9622,30.6785,2006-07,84
10,-97.9622,30.6785,2007-07,79.4
10,-97.9622,30.6785,2008-07,84
10,-97.9622,30.6785,2009-07,87.1
10,-97.9622,30.6785,2010-07,83.3
10,-97.9622,30.6785,2011-07,87.9
10,-97.9622,30.6785,2012-07,84.1
10,-97.9622,30.6785,2013-07,83
10,-97.9622,30.6785,2014-07,82.2
10,-97.9622,30.6785,2015-07,83.2
10,-97.9622,30.6785,2016-07,85.2
10,-97.9622,30.6785,2017-07,85.1
10,-97.9622,30.6785,2018-07,85.2
10,-97.9622,30.6785,2019-07,82.3
10,-97.9622,30.6785,2020-07,85.7
,,,,
11,-97.9988,30.2221,1975-07,80.4
11,-97.9988,30.2221,1976-07,78.5
11,-97.9988,30.2221,1977-07,83.5
11,-97.9988,30.2221,1978-07,85.1
11,-97.9988,30.2221,1979-07,81.8
11,-97.9988,30.2221,1980-07,85.8
11,-97.9988,30.2221,1981-07,82.1
11,-97.9988,30.2221,1982-07,84.8
11,-97.9988,30.2221,1983-07,81
11,-97.9988,30.2221,1984-07,82.9
11,-97.9988,30.2221,1985-07,81.5
11,-97.9988,30.2221,1986-07,84
11,-97.9988,30.2221,1987-07,80.9
11,-97.9988,30.2221,1988-07,82.1
11,-97.9988,30.2221,1989-07,82.1
11,-97.9988,30.2221,1990-07,80.8
11,-97.9988,30.2221,1991-07,81.5
11,-97.9988,30.2221,1992-07,82.5
11,-97.9988,30.2221,1993-07,83.4
11,-97.9988,30.2221,1994-07,85.1
11,-97.9988,30.2221,1995-07,83.4
11,-97.9988,30.2221,1996-07,86.7
11,-97.9988,30.2221,1997-07,83.1
11,-97.9988,30.2221,1998-07,85.5
11,-97.9988,30.2221,1999-07,81
11,-97.9988,30.2221,2000-07,84.5
11,-97.9988,30.2221,2001-07,85.3
11,-97.9988,30.2221,2002-07,80.3
11,-97.9988,30.2221,2003-07,81.6
11,-97.9988,30.2221,2004-07,80.6
11,-97.9988,30.2221,2005-07,83
11,-97.9988,30.2221,2006-07,83
11,-97.9988,30.2221,2007-07,76.4
11,-97.9988,30.2221,2008-07,83.4
11,-97.9988,30.2221,2009-07,87.1
11,-97.9988,30.2221,2010-07,82.1
11,-97.9988,30.2221,2011-07,86.7
11,-97.9988,30.2221,2012-07,82.9
11,-97.9988,30.2221,2013-07,82.5
11,-97.9988,30.2221,2014-07,82.5
11,-97.9988,30.2221,2015-07,82.9
11,-97.9988,30.2221,2016-07,84.4
11,-97.9988,30.2221,2017-07,85.3
11,-97.9988,30.2221,2018-07,85.5
11,-97.9988,30.2221,2019-07,81.7
11,-97.9988,30.2221,2020-07,84.7
,,,,
12,-98.0999,30.4578,1975-07,81.7
12,-98.0999,30.4578,1976-07,79.9
12,-98.0999,30.4578,1977-07,84.7
12,-98.0999,30.4578,1978-07,86.3
12,-98.0999,30.4578,1979-07,82.7
12,-98.0999,30.4578,1980-07,87
12,-98.0999,30.4578,1981-07,83.7
12,-98.0999,30.4578,1982-07,85.5
12,-98.0999,30.4578,1983-07,81.9
12,-98.0999,30.4578,1984-07,83.7
12,-98.0999,30.4578,1985-07,82.9
12,-98.0999,30.4578,1986-07,85.3
12,-98.0999,30.4578,1987-07,82.2
12,-98.0999,30.4578,1988-07,83.8
12,-98.0999,30.4578,1989-07,83.7
12,-98.0999,30.4578,1990-07,82.3
12,-98.0999,30.4578,1991-07,83.5
12,-98.0999,30.4578,1992-07,83.3
12,-98.0999,30.4578,1993-07,84.4
12,-98.0999,30.4578,1994-07,85.8
12,-98.0999,30.4578,1995-07,84.8
12,-98.0999,30.4578,1996-07,86.4
12,-98.0999,30.4578,1997-07,84.6
12,-98.0999,30.4578,1998-07,87.2
12,-98.0999,30.4578,1999-07,82.6
12,-98.0999,30.4578,2000-07,85.7
12,-98.0999,30.4578,2001-07,85.4
12,-98.0999,30.4578,2002-07,81.2
12,-98.0999,30.4578,2003-07,83
12,-98.0999,30.4578,2004-07,81.6
12,-98.0999,30.4578,2005-07,84.4
12,-98.0999,30.4578,2006-07,84.6
12,-98.0999,30.4578,2007-07,79.6
12,-98.0999,30.4578,2008-07,84.7
12,-98.0999,30.4578,2009-07,88.1
12,-98.0999,30.4578,2010-07,83.9
12,-98.0999,30.4578,2011-07,88.8
12,-98.0999,30.4578,2012-07,84.7
12,-98.0999,30.4578,2013-07,83.9
12,-98.0999,30.4578,2014-07,82.1
12,-98.0999,30.4578,2015-07,82.7
12,-98.0999,30.4578,2016-07,84.9
12,-98.0999,30.4578,2017-07,85.1
12,-98.0999,30.4578,2018-07,85.7
12,-98.0999,30.4578,2019-07,82.7
12,-98.0999,30.4578,2020-07,86.5
,,,,
13,-97.6031,30.8564,1975-07,81.9
13,-97.6031,30.8564,1976-07,79.7
13,-97.6031,30.8564,1977-07,84.8
13,-97.6031,30.8564,1978-07,86.6
13,-97.6031,30.8564,1979-07,82.6
13,-97.6031,30.8564,1980-07,87.1
13,-97.6031,30.8564,1981-07,83.5
13,-97.6031,30.8564,1982-07,85
13,-97.6031,30.8564,1983-07,81.8
13,-97.6031,30.8564,1984-07,83.4
13,-97.6031,30.8564,1985-07,82.8
13,-97.6031,30.8564,1986-07,84.6
13,-97.6031,30.8564,1987-07,81.8
13,-97.6031,30.8564,1988-07,83
13,-97.6031,30.8564,1989-07,82.4
13,-97.6031,30.8564,1990-07,81.4
13,-97.6031,30.8564,1991-07,82.6
13,-97.6031,30.8564,1992-07,82.9
13,-97.6031,30.8564,1993-07,83.9
