RvaID,Longitude,Latitude,Date,Mtemp
1,-77.1372,37.4949,1975-07,75.9
1,-77.1372,37.4949,1976-07,76.4
1,-77.1372,37.4949,1977-07,80.2
1,-77.1372,37.4949,1978-07,76.7
1,-77.1372,37.4949,1979-07,76
1,-77.1372,37.4949,1980-07,80
1,-77.1372,37.4949,1981-07,78.3
1,-77.1372,37.4949,1982-07,77.9
1,-77.1372,37.4949,1983-07,78.8
1,-77.1372,37.4949,1984-07,75.7
1,-77.1372,37.4949,1985-07,77.2
1,-77.1372,37.4949,1986-07,80.8
1,-77.1372,37.4949,1987-07,80.8
1,-77.1372,37.4949,1988-07,79.3
1,-77.1372,37.4949,1989-07,77.6
1,-77.1372,37.4949,1990-07,79.4
1,-77.1372,37.4949,1991-07,80.8
1,-77.1372,37.4949,1992-07,79.2
1,-77.1372,37.4949,1993-07,81.7
1,-77.1372,37.4949,1994-07,80.4
1,-77.1372,37.4949,1995-07,80.2
1,-77.1372,37.4949,1996-07,76.6
1,-77.1372,37.4949,1997-07,78.6
1,-77.1372,37.4949,1998-07,79
1,-77.1372,37.4949,1999-07,80
1,-77.1372,37.4949,2000-07,75.3
1,-77.1372,37.4949,2001-07,75
1,-77.1372,37.4949,2002-07,80.4
1,-77.1372,37.4949,2003-07,78.1
1,-77.1372,37.4949,2004-07,78.1
1,-77.1372,37.4949,2005-07,81.2
1,-77.1372,37.4949,2006-07,80
1,-77.1372,37.4949,2007-07,78.2
1,-77.1372,37.4949,2008-07,78.6
1,-77.1372,37.4949,2009-07,76.3
1,-77.1372,37.4949,2010-07,82.3
1,-77.1372,37.4949,2011-07,81.3
1,-77.1372,37.4949,2012-07,82.6
1,-77.1372,37.4949,2013-07,79.6
1,-77.1372,37.4949,2014-07,78.3
1,-77.1372,37.4949,2015-07,78.5
1,-77.1372,37.4949,2016-07,79.5
1,-77.1372,37.4949,2017-07,80.1
1,-77.1372,37.4949,2018-07,76.9
1,-77.1372,37.4949,2019-07,79.9
1,-77.1372,37.4949,2020-07,81.5
,,,,
2,-77.1868,37.085,1975-07,76.5
2,-77.1868,37.085,1976-07,76.9
2,-77.1868,37.085,1977-07,79.9
2,-77.1868,37.085,1978-07,77
2,-77.1868,37.085,1979-07,76.3
2,-77.1868,37.085,1980-07,79.8
2,-77.1868,37.085,1981-07,79
2,-77.1868,37.085,1982-07,78
2,-77.1868,37.085,1983-07,79.3
2,-77.1868,37.085,1984-07,75.8
2,-77.1868,37.085,1985-07,76.9
2,-77.1868,37.085,1986-07,81.3
2,-77.1868,37.085,1987-07,81.2
2,-77.1868,37.085,1988-07,78.9
2,-77.1868,37.085,1989-07,77.4
2,-77.1868,37.085,1990-07,79.8
2,-77.1868,37.085,1991-07,81.7
2,-77.1868,37.085,1992-07,80.4
2,-77.1868,37.085,1993-07,82.3
2,-77.1868,37.085,1994-07,80.8
2,-77.1868,37.085,1995-07,80.1
2,-77.1868,37.085,1996-07,76.8
2,-77.1868,37.085,1997-07,79.4
2,-77.1868,37.085,1998-07,79.3
2,-77.1868,37.085,1999-07,80.2
2,-77.1868,37.085,2000-07,76
2,-77.1868,37.085,2001-07,75
2,-77.1868,37.085,2002-07,80.7
2,-77.1868,37.085,2003-07,78.6
2,-77.1868,37.085,2004-07,78.5
2,-77.1868,37.085,2005-07,81.7
2,-77.1868,37.085,2006-07,79.8
2,-77.1868,37.085,2007-07,78
2,-77.1868,37.085,2008-07,78.1
2,-77.1868,37.085,2009-07,75.7
2,-77.1868,37.085,2010-07,81.1
2,-77.1868,37.085,2011-07,80.6
2,-77.1868,37.085,2012-07,82.1
2,-77.1868,37.085,2013-07,78.6
2,-77.1868,37.085,2014-07,77
2,-77.1868,37.085,2015-07,78.4
2,-77.1868,37.085,2016-07,79.8
2,-77.1868,37.085,2017-07,80.2
2,-77.1868,37.085,2018-07,77.3
2,-77.1868,37.085,2019-07,80.8
2,-77.1868,37.085,2020-07,82.5
,,,,
3,-77.0721,37.2197,1975-07,76.3
3,-77.0721,37.2197,1976-07,76.8
3,-77.0721,37.2197,1977-07,80.2
3,-77.0721,37.2197,1978-07,77.2
3,-77.0721,37.2197,1979-07,76.4
3,-77.0721,37.2197,1980-07,80.2
3,-77.0721,37.2197,1981-07,79
3,-77.0721,37.2197,1982-07,77.9
3,-77.0721,37.2197,1983-07,79.1
3,-77.0721,37.2197,1984-07,75.6
3,-77.0721,37.2197,1985-07,76.6
3,-77.0721,37.2197,1986-07,81.2
3,-77.0721,37.2197,1987-07,81.3
3,-77.0721,37.2197,1988-07,78.9
3,-77.0721,37.2197,1989-07,77.7
3,-77.0721,37.2197,1990-07,79.6
3,-77.0721,37.2197,1991-07,81.7
3,-77.0721,37.2197,1992-07,80.1
3,-77.0721,37.2197,1993-07,82.2
3,-77.0721,37.2197,1994-07,80.9
3,-77.0721,37.2197,1995-07,80.3
3,-77.0721,37.2197,1996-07,77.1
3,-77.0721,37.2197,1997-07,79.6
3,-77.0721,37.2197,1998-07,79.6
3,-77.0721,37.2197,1999-07,80.4
3,-77.0721,37.2197,2000-07,76.2
3,-77.0721,37.2197,2001-07,75.2
3,-77.0721,37.2197,2002-07,81.1
3,-77.0721,37.2197,2003-07,78.7
3,-77.0721,37.2197,2004-07,78.7
3,-77.0721,37.2197,2005-07,81.9
3,-77.0721,37.2197,2006-07,79.9
3,-77.0721,37.2197,2007-07,78
3,-77.0721,37.2197,2008-07,78.3
3,-77.0721,37.2197,2009-07,75.9
3,-77.0721,37.2197,2010-07,81.4
3,-77.0721,37.2197,2011-07,80.7
3,-77.0721,37.2197,2012-07,82.1
3,-77.0721,37.2197,2013-07,78.8
3,-77.0721,37.2197,2014-07,78.2
3,-77.0721,37.2197,2015-07,78.4
3,-77.0721,37.2197,2016-07,79.9
3,-77.0721,37.2197,2017-07,80.3
3,-77.0721,37.2197,2018-07,77
3,-77.0721,37.2197,2019-07,80.4
3,-77.0721,37.2197,2020-07,82.3
,,,,
4,-76.8573,37.7497,1975-07,75.5
4,-76.8573,37.7497,1976-07,75.8
4,-76.8573,37.7497,1977-07,79.4
4,-76.8573,37.7497,1978-07,76
4,-76.8573,37.7497,1979-07,75.4
4,-76.8573,37.7497,1980-07,79.4
4,-76.8573,37.7497,1981-07,77.4
4,-76.8573,37.7497,1982-07,77.4
4,-76.8573,37.7497,1983-07,78
4,-76.8573,37.7497,1984-07,75.3
4,-76.8573,37.7497,1985-07,76.7
4,-76.8573,37.7497,1986-07,80
4,-76.8573,37.7497,1987-07,80
4,-76.8573,37.7497,1988-07,79
4,-76.8573,37.7497,1989-07,77.1
4,-76.8573,37.7497,1990-07,78.7
4,-76.8573,37.7497,1991-07,80.1
4,-76.8573,37.7497,1992-07,78.4
4,-76.8573,37.7497,1993-07,80.8
4,-76.8573,37.7497,1994-07,79.6
4,-76.8573,37.7497,1995-07,79.8
4,-76.8573,37.7497,1996-07,76.1
4,-76.8573,37.7497,1997-07,78
4,-76.8573,37.7497,1998-07,78.1
4,-76.8573,37.7497,1999-07,79.8
